state_name,district_name,disability_type,age_group (Years),Male_count,female_count,total
Maharashtra,Yavatmal,Acid Attack Victim,35-60 Years,1,0,1
Maharashtra,Yavatmal,Acid Attack Victim,60-80 Years,0,1,1
Haryana,Yamunanagar,Acid Attack Victim,15-35 Years,1,0,1
Haryana,Yamunanagar,Acid Attack Victim,35-60 Years,4,0,4
Karnataka,Yadgir,Acid Attack Victim,15-35 Years,5,8,13
Karnataka,Yadgir,Acid Attack Victim,35-60 Years,5,4,9
Jharkhand,West Singhbhum,Acid Attack Victim,6-15 Years,1,0,1
Jharkhand,West Singhbhum,Acid Attack Victim,35-60 Years,1,0,1
Meghalaya,West Jaintia Hills,Acid Attack Victim,15-35 Years,0,1,1
Maharashtra,Wardha,Acid Attack Victim,35-60 Years,1,0,1
Andhra Pradesh,Vizianagaram,Acid Attack Victim,35-60 Years,3,0,3
Andhra Pradesh,Visakhapatanam,Acid Attack Victim,15-35 Years,1,0,1
Andhra Pradesh,Visakhapatanam,Acid Attack Victim,35-60 Years,2,0,2
Tamil Nadu,Virudhunagar,Acid Attack Victim,6-15 Years,1,1,2
Tamil Nadu,Virudhunagar,Acid Attack Victim,15-35 Years,4,7,11
Tamil Nadu,Virudhunagar,Acid Attack Victim,35-60 Years,13,15,28
Tamil Nadu,Virudhunagar,Acid Attack Victim,60-80 Years,1,5,6
Tamil Nadu,Villupuram,Acid Attack Victim,35-60 Years,2,1,3
Tamil Nadu,Villupuram,Acid Attack Victim,60-80 Years,1,1,2
Karnataka,Vijayapura,Acid Attack Victim,6-15 Years,1,0,1
Karnataka,Vijayapura,Acid Attack Victim,15-35 Years,7,7,14
Karnataka,Vijayapura,Acid Attack Victim,35-60 Years,11,2,13
Karnataka,Vijayapura,Acid Attack Victim,60-80 Years,2,0,2
Madhya Pradesh,Vidisha,Acid Attack Victim,15-35 Years,4,2,6
Madhya Pradesh,Vidisha,Acid Attack Victim,35-60 Years,5,2,7
Madhya Pradesh,Vidisha,Acid Attack Victim,60-80 Years,3,0,3
Tamil Nadu,Vellore,Acid Attack Victim,15-35 Years,8,8,16
Tamil Nadu,Vellore,Acid Attack Victim,35-60 Years,14,4,18
Tamil Nadu,Vellore,Acid Attack Victim,60-80 Years,1,4,5
Tamil Nadu,Vellore,Acid Attack Victim,80 Year and above,1,0,1
Uttar Pradesh,Varanasi,Acid Attack Victim,35-60 Years,1,0,1
Gujarat,Valsad,Acid Attack Victim,60-80 Years,0,1,1
Bihar,Vaishali,Acid Attack Victim,6-15 Years,0,1,1
Bihar,Vaishali,Acid Attack Victim,15-35 Years,5,0,5
Bihar,Vaishali,Acid Attack Victim,35-60 Years,1,0,1
Gujarat,Vadodara,Acid Attack Victim,35-60 Years,0,1,1
Karnataka,Uttara Kannada,Acid Attack Victim,35-60 Years,1,2,3
Uttarakhand,Uttar Kashi,Acid Attack Victim,15-35 Years,2,1,3
Uttarakhand,Uttar Kashi,Acid Attack Victim,35-60 Years,1,0,1
Uttar Pradesh,Unnao,Acid Attack Victim,15-35 Years,2,0,2
Uttar Pradesh,Unnao,Acid Attack Victim,35-60 Years,2,2,4
Himachal Pradesh,Una,Acid Attack Victim,35-60 Years,0,1,1
Madhya Pradesh,Umaria,Acid Attack Victim,6-15 Years,0,1,1
Madhya Pradesh,Umaria,Acid Attack Victim,15-35 Years,10,5,15
Madhya Pradesh,Umaria,Acid Attack Victim,35-60 Years,7,5,12
Madhya Pradesh,Umaria,Acid Attack Victim,60-80 Years,1,0,1
Madhya Pradesh,Ujjain,Acid Attack Victim,6-15 Years,0,1,1
Madhya Pradesh,Ujjain,Acid Attack Victim,15-35 Years,0,1,1
Madhya Pradesh,Ujjain,Acid Attack Victim,35-60 Years,1,1,2
Karnataka,Udupi,Acid Attack Victim,35-60 Years,0,1,1
Uttarakhand,Udam Singh Nagar,Acid Attack Victim,35-60 Years,0,2,2
Uttarakhand,Udam Singh Nagar,Acid Attack Victim,60-80 Years,1,0,1
Assam,Udalguri,Acid Attack Victim,35-60 Years,2,1,3
Rajasthan,Udaipur,Acid Attack Victim,15-35 Years,1,1,2
Rajasthan,Udaipur,Acid Attack Victim,35-60 Years,2,0,2
Tamil Nadu,Tuticorin,Acid Attack Victim,35-60 Years,1,1,2
Tamil Nadu,Tuticorin,Acid Attack Victim,60-80 Years,1,0,1
Karnataka,Tumakuru,Acid Attack Victim,0-6 Years,1,0,1
Karnataka,Tumakuru,Acid Attack Victim,6-15 Years,0,2,2
Karnataka,Tumakuru,Acid Attack Victim,15-35 Years,2,0,2
Karnataka,Tumakuru,Acid Attack Victim,35-60 Years,10,9,19
Karnataka,Tumakuru,Acid Attack Victim,60-80 Years,2,1,3
Rajasthan,Tonk,Acid Attack Victim,15-35 Years,1,0,1
Rajasthan,Tonk,Acid Attack Victim,35-60 Years,3,1,4
